setting,member,weight
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31428804441264435
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2894662672216265
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1508649397990958
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.11026059085462944
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04524415145775338
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.039109887205289524
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.034395971077450876
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.015688841319580753
mixed_analog_t30__low_disagreement__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,0.0006813066519293112
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.44927694115302286
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.31500945234112104
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.1069261366866825
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.0840255876467385
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_pooled_boltz_umap_default,0.027076848010683885
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.017685034161751306
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,6.057032782830311e-18
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,4.0861476357134857e-19
mixed_analog_t30__potent46_soft__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,3.0131528169488697e-21
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3735692764165962
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.30876083146703165
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13966321959917805
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.10225384298714311
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03546397152444159
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.025363312884706356
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.01492554512090307
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,1.778907570460972e-18
mixed_analog_t30__potent46_soft__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,1.2516515702809944e-18
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.331392630039121
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29610886700352435
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.14892759570638867
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10921314893452272
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_pooled_boltz_umap_default,0.042268102318600106
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.03272335390362334
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03163823649058229
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.007728065603637624
mixed_analog_t30__potent46_soft__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,1.81634574972865e-18
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31710981581964476
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29103506717766464
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.15092721265072367
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.11042344098839145
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04445457215126181
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.037948008523930335
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03377846952501205
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.014306652508650815
mixed_analog_t30__potent46_soft__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,1.6760654720535368e-05
mixed_analog_t30__uniform__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.43191109178117676
mixed_analog_t30__uniform__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.31694586849841727
mixed_analog_t30__uniform__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.1122260282902286
mixed_analog_t30__uniform__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.0887493817130606
mixed_analog_t30__uniform__l2_0p1,tabpfn_pooled_boltz_umap_default,0.03138070181851084
mixed_analog_t30__uniform__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.018786927898605935
mixed_analog_t30__uniform__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,1.5369388708816806e-18
mixed_analog_t30__uniform__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,4.512194722241676e-19
mixed_analog_t30__uniform__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,1.14343503197668e-19
mixed_analog_t30__uniform__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3634294805413412
mixed_analog_t30__uniform__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3059594174573486
mixed_analog_t30__uniform__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.14102260572022582
mixed_analog_t30__uniform__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.10240791769853254
mixed_analog_t30__uniform__l2_0p3,tabpfn_pooled_boltz_umap_default,0.037807278131501816
mixed_analog_t30__uniform__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.026443539525831446
mixed_analog_t30__uniform__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.022929760925218548
mixed_analog_t30__uniform__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,3.7737435382547216e-18
mixed_analog_t30__uniform__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
mixed_analog_t30__uniform__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.327719477833032
mixed_analog_t30__uniform__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2948005283850256
mixed_analog_t30__uniform__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.14886017425077713
mixed_analog_t30__uniform__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10921278934200879
mixed_analog_t30__uniform__l2_1p0,tabpfn_pooled_boltz_umap_default,0.042707436695868205
mixed_analog_t30__uniform__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.03538401392941362
mixed_analog_t30__uniform__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.031687188263923104
mixed_analog_t30__uniform__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.009628391299951583
mixed_analog_t30__uniform__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,3.78119899105509e-19
mixed_analog_t30__uniform__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3157960670272666
mixed_analog_t30__uniform__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29053243994663186
mixed_analog_t30__uniform__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1508852116672697
mixed_analog_t30__uniform__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.110334528509861
mixed_analog_t30__uniform__l2_3p0,tabpfn_pooled_boltz_umap_default,0.044606255149024394
mixed_analog_t30__uniform__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.0387944074808357
mixed_analog_t30__uniform__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03382569633681618
mixed_analog_t30__uniform__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.014949515824582097
mixed_analog_t30__uniform__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,0.00027587805771243733
test_nn_t25__importance__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.4839778546685083
test_nn_t25__importance__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3061575063216049
test_nn_t25__importance__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.10041714955203246
test_nn_t25__importance__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.058516335293451016
test_nn_t25__importance__l2_0p1,tabpfn_pooled_boltz_umap_default,0.03239888826296721
test_nn_t25__importance__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.018532265901436258
test_nn_t25__importance__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,4.7843808992711905e-18
test_nn_t25__importance__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,2.374275702801167e-18
test_nn_t25__importance__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
test_nn_t25__importance__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.38829091973095126
test_nn_t25__importance__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3075129585199041
test_nn_t25__importance__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13562938161921656
test_nn_t25__importance__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.09463354492870368
test_nn_t25__importance__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03872548141116846
test_nn_t25__importance__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.027657655561949865
test_nn_t25__importance__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.007550058228106098
test_nn_t25__importance__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,4.21314187964289e-18
test_nn_t25__importance__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
test_nn_t25__importance__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.33673666351002784
test_nn_t25__importance__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2960981166320114
test_nn_t25__importance__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1478365726664454
test_nn_t25__importance__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10602345767462736
test_nn_t25__importance__l2_1p0,tabpfn_pooled_boltz_umap_default,0.043648904858755215
test_nn_t25__importance__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03278864987418782
test_nn_t25__importance__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.02949554178137342
test_nn_t25__importance__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.007372093002571544
test_nn_t25__importance__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,7.627002294432939e-19
test_nn_t25__importance__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31892072257123244
test_nn_t25__importance__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2910358457714811
test_nn_t25__importance__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.15056544395076138
test_nn_t25__importance__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.10925081633695712
test_nn_t25__importance__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04498040190916912
test_nn_t25__importance__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.0368726588850615
test_nn_t25__importance__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.0342030697880991
test_nn_t25__importance__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.014171040787238272
test_nn_t25__importance__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,6.783675116322878e-19
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.5406264549232913
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.30250113023790387
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.08320179282130535
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.030560008290734655
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.022265734500320048
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_pooled_boltz_umap_default,0.020844879226444787
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,0.0
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
test_nn_t25__importance_x_potent46__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.4111117600533821
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.3098914865783294
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13057700035237726
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.08459728984983149
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03611491535520711
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.0277075478108727
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,5.097406143807983e-18
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,3.391001211587542e-18
test_nn_t25__importance_x_potent46__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,3.3155368821493675e-18
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3456715622050463
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2983102374380727
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.14769258106143773
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10416085225730715
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_pooled_boltz_umap_default,0.043344423728951094
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.033595124818114816
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.02429255148943715
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0029326670016331263
test_nn_t25__importance_x_potent46__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3219439782037483
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2917986288778838
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1505082197021719
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.10863933601849624
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04486174630750598
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.03511799060395396
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03443754323238228
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.012692557053857483
test_nn_t25__importance_x_potent46__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,1.2201509605198196e-18
test_nn_t25__low_disagreement__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.41034821135110777
test_nn_t25__low_disagreement__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.30329227305137746
test_nn_t25__low_disagreement__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.12114947368842721
test_nn_t25__low_disagreement__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.09203148959556734
test_nn_t25__low_disagreement__l2_0p1,tabpfn_pooled_boltz_umap_default,0.03998748835176329
test_nn_t25__low_disagreement__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.025018180479674627
test_nn_t25__low_disagreement__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,0.00817288348208235
test_nn_t25__low_disagreement__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,1.0917605793949598e-18
test_nn_t25__low_disagreement__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,4.392790451611233e-19
test_nn_t25__low_disagreement__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3524091069739258
test_nn_t25__low_disagreement__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29859407576536184
test_nn_t25__low_disagreement__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.14279837618910315
test_nn_t25__low_disagreement__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.10513025034220697
test_nn_t25__low_disagreement__l2_0p3,tabpfn_pooled_boltz_umap_default,0.04245468243609202
test_nn_t25__low_disagreement__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.030257558195888188
test_nn_t25__low_disagreement__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.028355950097422068
test_nn_t25__low_disagreement__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,6.962610826430349e-19
test_nn_t25__low_disagreement__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,0.0
test_nn_t25__low_disagreement__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.32377451366516113
test_nn_t25__low_disagreement__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2920747046773353
test_nn_t25__low_disagreement__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.14925824780062455
test_nn_t25__low_disagreement__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10915353910516104
test_nn_t25__low_disagreement__l2_1p0,tabpfn_pooled_boltz_umap_default,0.04425427193329563
test_nn_t25__low_disagreement__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.03655344091509947
test_nn_t25__low_disagreement__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.0331257078106743
test_nn_t25__low_disagreement__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.01180557409264862
test_nn_t25__low_disagreement__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,0.0
test_nn_t25__low_disagreement__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31428804441264435
test_nn_t25__low_disagreement__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.2894662672216265
test_nn_t25__low_disagreement__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.1508649397990958
test_nn_t25__low_disagreement__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.11026059085462944
test_nn_t25__low_disagreement__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04524415145775338
test_nn_t25__low_disagreement__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.039109887205289524
test_nn_t25__low_disagreement__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.034395971077450876
test_nn_t25__low_disagreement__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.015688841319580753
test_nn_t25__low_disagreement__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,0.0006813066519293112
test_nn_t25__potent46_soft__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.44927694115302286
test_nn_t25__potent46_soft__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.31500945234112104
test_nn_t25__potent46_soft__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.1069261366866825
test_nn_t25__potent46_soft__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.0840255876467385
test_nn_t25__potent46_soft__l2_0p1,tabpfn_pooled_boltz_umap_default,0.027076848010683885
test_nn_t25__potent46_soft__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.017685034161751306
test_nn_t25__potent46_soft__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,6.057032782830311e-18
test_nn_t25__potent46_soft__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,4.0861476357134857e-19
test_nn_t25__potent46_soft__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,3.0131528169488697e-21
test_nn_t25__potent46_soft__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.3735692764165962
test_nn_t25__potent46_soft__l2_0p3,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.30876083146703165
test_nn_t25__potent46_soft__l2_0p3,tabpfn_chemprop_pretrain_embed_umap_default,0.13966321959917805
test_nn_t25__potent46_soft__l2_0p3,tabpfn_kermt_pretrain_embed_umap_default,0.10225384298714311
test_nn_t25__potent46_soft__l2_0p3,tabpfn_pooled_boltz_umap_default,0.03546397152444159
test_nn_t25__potent46_soft__l2_0p3,tabpfn_pooled_boltz_allpairs_umap_default,0.025363312884706356
test_nn_t25__potent46_soft__l2_0p3,tabpfn_molformer_c3_pretrain_embed_umap,0.01492554512090307
test_nn_t25__potent46_soft__l2_0p3,tabpfn_attentivefp_pretrain_embed_umap_default,1.778907570460972e-18
test_nn_t25__potent46_soft__l2_0p3,tabpfn_gatedgcn_pretrain_embed_umap_default,1.2516515702809944e-18
test_nn_t25__potent46_soft__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.331392630039121
test_nn_t25__potent46_soft__l2_1p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29610886700352435
test_nn_t25__potent46_soft__l2_1p0,tabpfn_chemprop_pretrain_embed_umap_default,0.14892759570638867
test_nn_t25__potent46_soft__l2_1p0,tabpfn_kermt_pretrain_embed_umap_default,0.10921314893452272
test_nn_t25__potent46_soft__l2_1p0,tabpfn_pooled_boltz_umap_default,0.042268102318600106
test_nn_t25__potent46_soft__l2_1p0,tabpfn_molformer_c3_pretrain_embed_umap,0.03272335390362334
test_nn_t25__potent46_soft__l2_1p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03163823649058229
test_nn_t25__potent46_soft__l2_1p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.007728065603637624
test_nn_t25__potent46_soft__l2_1p0,tabpfn_attentivefp_pretrain_embed_umap_default,1.81634574972865e-18
test_nn_t25__potent46_soft__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.31710981581964476
test_nn_t25__potent46_soft__l2_3p0,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.29103506717766464
test_nn_t25__potent46_soft__l2_3p0,tabpfn_chemprop_pretrain_embed_umap_default,0.15092721265072367
test_nn_t25__potent46_soft__l2_3p0,tabpfn_kermt_pretrain_embed_umap_default,0.11042344098839145
test_nn_t25__potent46_soft__l2_3p0,tabpfn_pooled_boltz_umap_default,0.04445457215126181
test_nn_t25__potent46_soft__l2_3p0,tabpfn_molformer_c3_pretrain_embed_umap,0.037948008523930335
test_nn_t25__potent46_soft__l2_3p0,tabpfn_pooled_boltz_allpairs_umap_default,0.03377846952501205
test_nn_t25__potent46_soft__l2_3p0,tabpfn_gatedgcn_pretrain_embed_umap_default,0.014306652508650815
test_nn_t25__potent46_soft__l2_3p0,tabpfn_attentivefp_pretrain_embed_umap_default,1.6760654720535368e-05
test_nn_t25__uniform__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_top500_umap,0.43191109178117676
test_nn_t25__uniform__l2_0p1,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.31694586849841727
test_nn_t25__uniform__l2_0p1,tabpfn_chemprop_pretrain_embed_umap_default,0.1122260282902286
test_nn_t25__uniform__l2_0p1,tabpfn_kermt_pretrain_embed_umap_default,0.0887493817130606
test_nn_t25__uniform__l2_0p1,tabpfn_pooled_boltz_umap_default,0.03138070181851084
test_nn_t25__uniform__l2_0p1,tabpfn_pooled_boltz_allpairs_umap_default,0.018786927898605935
test_nn_t25__uniform__l2_0p1,tabpfn_attentivefp_pretrain_embed_umap_default,1.5369388708816806e-18
test_nn_t25__uniform__l2_0p1,tabpfn_gatedgcn_pretrain_embed_umap_default,4.512194722241676e-19
test_nn_t25__uniform__l2_0p1,tabpfn_molformer_c3_pretrain_embed_umap,1.14343503197668e-19
